iter	Passed	Remaining
407	4371	985
408	4381	974
409	4391	963
410	4398	952
411	4410	942
412	4419	931
413	4439	922
414	4454	912
415	4469	902
416	4478	891
417	4484	879
418	4494	868
419	4502	857
420	4508	845
421	4516	834
422	4524	823
423	4540	813
424	4552	803
425	4566	793
426	4582	783
427	4588	771
428	4599	761
429	4608	750
430	4619	739
431	4625	728
432	4632	716
433	4643	706
434	4654	695
435	4663	684
436	4671	673
437	4679	662
438	4684	650
439	4693	640
440	4707	629
441	4713	618
442	4720	607
443	4742	598
444	4751	587
445	4758	576
446	4767	565
447	4781	554
448	4786	543
449	4796	532
450	4806	522
451	4813	511
452	4829	501
453	4838	490
454	4854	480
455	4867	469
456	4871	458
457	4881	447
458	4891	436
459	4903	426
460	4910	415
461	4918	404
462	4928	393
463	4946	383
464	4955	373
465	4965	362
466	4978	351
467	4984	340
468	4994	330
469	5000	319
470	5006	308
471	5016	297
472	5024	286
473	5035	276
474	5039	265
475	5053	254
476	5068	244
477	5076	233
478	5082	222
479	5091	212
480	5103	201
481	5111	190
482	5118	180
483	5131	169
484	5139	158
485	5147	148
486	5155	137
487	5166	127
488	5175	116
489	5188	105
490	5193	95
491	5206	84
492	5216	74
493	5226	63
494	5233	52
495	5247	42
496	5268	31
497	5280	21
498	5286	10
499	5297	0
