iter	Logloss
269	0.3614212612
270	0.3612915423
271	0.361061058
272	0.3606560254
273	0.3605764857
274	0.3604498256
275	0.3602553184
276	0.360149252
277	0.3599352814
278	0.3597405967
279	0.3595473211
280	0.3594087689
281	0.3593107114
282	0.3592859684
283	0.3591715907
284	0.3590880652
285	0.35907495
286	0.3589672624
287	0.358823975
288	0.3586609848
289	0.3586230463
290	0.3583177505
291	0.3581018893
292	0.3577039376
293	0.3575989266
294	0.3575042971
295	0.3573586834
296	0.3573019878
297	0.3572358303
298	0.3570969429
299	0.3569164241
300	0.3567292259
301	0.3564254651
302	0.3563262106
303	0.3562441545
304	0.3561272228
305	0.3559756408
306	0.3556145615
307	0.3556140281
308	0.3553663271
309	0.3551660248
310	0.3548926243
311	0.3547721734
312	0.3546221462
313	0.3543579055
314	0.3541013027
315	0.3539111189
316	0.3538192681
317	0.3535734281
318	0.3533525414
319	0.352965751
320	0.3529127535
321	0.3528281524
322	0.3526779446
323	0.3524965937
324	0.3524246384
325	0.3522382723
326	0.3521137514
327	0.3519912274
328	0.3519553657
329	0.3518736696
330	0.351580527
331	0.3514905086
332	0.351394955
333	0.3513286177
334	0.3512973203
335	0.3510107952
336	0.3508274754
337	0.3505641023
338	0.3503389314
339	0.3503264528
340	0.3502138795
341	0.3501858332
342	0.350060485
343	0.349692949
344	0.3494749525
345	0.3492050055
346	0.3490890531
347	0.3489652505
348	0.3487858814
349	0.3486833734
350	0.3484307622
351	0.3482061821
352	0.3480071813
353	0.3478928144
354	0.3478203689
355	0.3476118379
356	0.3472946466
357	0.3471839364
358	0.3469700738
359	0.3468587734
360	0.3468251103
361	0.346623571
362	0.3466008579
363	0.3464256329
364	0.346160134
365	0.3459152416
366	0.3457686665
367	0.3455965301
368	0.3455748296
369	0.3454054944
370	0.3452778764
371	0.3450055252
372	0.3448593099
373	0.3448263463
374	0.3447813332
375	0.3444847327
376	0.3442947913
377	0.3441690224
378	0.3439048524
379	0.343767845
380	0.3436894143
381	0.343538911
382	0.3434518514
383	0.3434123351
384	0.3430869172
385	0.3429173954
386	0.3426765955
387	0.3425043803
388	0.3424755725
389	0.3423179205
390	0.3422218418
391	0.3419829232
392	0.3419329089
393	0.3416928122
394	0.3415969102
395	0.3415065317
396	0.3412561404
397	0.3411546289
398	0.3410672927
399	0.3409643106
400	0.3408325291
401	0.3407580053
402	0.3405298618
403	0.3402981552
404	0.3401055436
405	0.3399645917
406	0.3397109376
407	0.3396322755
408	0.3394502314
409	0.3393874264
410	0.3391745914
411	0.3390405664
412	0.338814448
413	0.3386459431
414	0.3385398694
415	0.3383332641
416	0.3382513162
417	0.3379015103
418	0.3378402753
419	0.3376568982
420	0.3375269211
421	0.3374130445
422	0.3372769444
423	0.3371006296
424	0.3369115636
425	0.3367456546
426	0.3365765069
427	0.3363837532
428	0.3362816484
429	0.3361043968
430	0.3359010915
431	0.3357073524
432	0.3355918114
433	0.3354972913
434	0.3353592294
435	0.3350884212
436	0.3349866928
437	0.3347981005
438	0.3346975238
439	0.3345525182
440	0.334394376
441	0.3343566368
442	0.3342150968
443	0.3338668798
444	0.3336331913
445	0.3334994427
446	0.3334153423
447	0.3330808623
448	0.3329170687
449	0.3327118129
450	0.3325508946
451	0.3324152139
452	0.3323783655
453	0.3321099827
454	0.3319868981
455	0.3317780149
456	0.3316738759
457	0.3315650096
458	0.331499456
459	0.3313723256
460	0.3312365844
461	0.3310591043
462	0.3306144727
463	0.3304551054
464	0.3303167984
465	0.3301107544
466	0.3300119718
467	0.3297660683
468	0.3297016238
469	0.3294937332
470	0.3292352496
471	0.3290777796
472	0.3288458752
473	0.3286268233
474	0.3283767531
475	0.3282936594
476	0.3279990502
477	0.3278216157
478	0.3277699576
479	0.3276569318
480	0.3273897716
481	0.3272911613
482	0.327161346
483	0.3270319269
484	0.3269415223
485	0.326867255
486	0.3266326386
487	0.3264775581
488	0.3263770962
489	0.3262189115
490	0.3260472575
491	0.3260357563
492	0.3258679705
493	0.3256414477
494	0.3254734634
495	0.3252778517
496	0.3252329443
497	0.3251912424
498	0.325104874
499	0.3250373002
